S. No.,Gujarati - Hindi Name,English Name,MP3 URL,PDF URL
11,આ મારું શરીર,Aa Maru Sharir,https://archive.org/download/KavirajPad/Aa%20Maru%20Sharir.mp3,https://archive.org/download/KavirajPadLyrics/CD61-07%20Aa%20Maru%20Sharir%20m12p1pg1.pdf
12,"આ' નિયમન ચક્રનો ધ્રુવ કાંટો, ભગવાન","Aa Niyaman Chakrano Dhruv Kanto, Bhagawan",https://archive.org/download/KavirajPad/Aa%20Niyaman%20Chkrano.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20Niyaman%20Chakrano%20Dhruv%20Kanto%20Bhagawan-%2026-01.pdf
13,આ સાલગીરી સ્થૂળ મંદિરની,Aa Salgiri sthool mandir ni,https://archive.org/download/KavirajPad/Aa%20Salagiri%20Sthul%20Mandirni.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20Salgiri%20sthool%20mandir%20ni.pdf
14,આ સરઘસ છે દાદાના,Aa Saraghas Chhe Dadana Aaptaputronu,https://archive.org/download/KavirajPad/84_1_Aa%20Sarghas%20Chhe%20Dadana%20Aaptaputronu.mp3,https://archive.org/download/KavirajPadLyrics/84_1_Aa%20Sarghas%20Chhe%20Dadana%20Aaptaputronu.pdf
15,આ શ્રીમુખમાંથી નીકળેલાં,Aa Shrimukha mathi Nikalela,https://archive.org/download/KavirajPad/Aa%20Shreemukhmanthi%20Nikarela.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20Shrimukhamathi%20Niklela.pdf
16,"આ ...વો (૨), નાટક જોવા આવો","Aa Vo (2), Natak Jova Aavo",https://archive.org/download/KavirajPad/Aavo%20(2)%20Natak%20Jova.mp3,"https://archive.org/download/KavirajPadLyrics/Aa%20Vo%20(2),%20Natak%20Jova%20Aavo.pdf"
17,આબે ઝમઝમ,Aabe zamzam,https://archive.org/download/KavirajPad/Aabe%20Zam%20Zam.mp3,https://archive.org/download/KavirajPadLyrics/Aabe%20zam%20zam%20-%2038-03%20(1).pdf
18,"આધિ, વ્યાધિ, ને ઊપાધિની શૂળ","Aadhi, Vyadhi, Ne Upadhini Shul",https://archive.org/download/KavirajPad/Aadhi%20Vyadhi%20Ne%20Upadhi%20Ni%20Shul.mp3,"https://archive.org/download/KavirajPadLyrics/Aadhi,%20Vyadhi,%20Ne%20Upadhini%20Shul.pdf"
19,આદિ પુરૂષ નિજ રસ જ્ઞાનાંજન,Aadipurush Nij Rasa Gnananjan,https://archive.org/download/KavirajPad/86_4_Aadi%20Purush%20Nij%20ras.mp3,https://archive.org/download/KavirajPadLyrics/86_4_Aadi%20Purush%20Nij%20ras.pdf
20,આડો માલ ભર્યો છે અંદર,Aado Maal Bharyo Chhe Andar,https://archive.org/download/KavirajPad/Aado%20Mal%20Bharyo%20Chhe.mp3,https://archive.org/download/KavirajPadLyrics/Aado%20Maal%20Bharyo%20Chhe%20Andar%20(1).pdf
21,આડો માલ પડ્યો છે મહીં,Aado maal padyo chhe mahi,https://archive.org/download/KavirajPad/Ado%20Mal%20Padyo%20Chhe%20Manhi.mp3,https://archive.org/download/KavirajPadLyrics/Aado%20maal%20padyo%20chhe%20mahi.pdf
22,આજ નાનેરું લાગતું આભ રે,Aaj Naneru Lagtu Aabh Re,https://archive.org/download/KavirajPad/Aaj%20Naneru%20Lagatu%20Aabha%20Re.mp3,https://archive.org/download/KavirajPadLyrics/Aaj%20naneru%20lagtu%20-40-09.pdf
23,આજે પોકારો દિલથી 'દાદા'ને,Aaje Pokaro Dilthi Dadane,https://archive.org/download/KavirajPad/85_9_Aaje%20Pokaro%20Dil%20thi%20Dadane.mp3,https://archive.org/download/KavirajPadLyrics/85_9_Aaje%20Pokaro%20Dil%20thi%20Dadane.pdf
24,"આજનો લહાવો લીજીએ રે, કાલ કોણે","Aajno Lahavo Liji-Eh Re, Kaal Kone",https://archive.org/download/KavirajPad/Aajno%20Lhavo%20Lijiye%20Re%20Kal.mp3,https://archive.org/download/KavirajPadLyrics/aajno%20lhavo%20lijiye.pdf
25,"આજનો લહાવો લીજીએ રે, સદા વર્તમાને","Aajno Lahavo Liji-Eh Re, Sada Vartamane",https://archive.org/download/KavirajPad/Aajno%20Lahavo%20Lijiye%20Re%20SADA%20Vartamane.mp3,https://archive.org/download/KavirajPadLyrics/aajno%20lhavo....vartman.pdf
26,આકાર સ્વભાવી પુદગલની શક્તિ,Aakar swabhavi pudagalni shakti,https://archive.org/download/KavirajPad/Aakar%20Svabhavi%20Pudgalni.mp3,https://archive.org/download/KavirajPadLyrics/CD66-08%20Aakar%20Svabhavi%20Pudagalni%20Shakti.pdf
27,આખાં આ સંસારનો (હે પ્રભુ શું કહું?),Aakha Aa Sansarno Ahankar,https://archive.org/download/KavirajPad/87_6_Aakha%20aa%20sansar%20no.mp3,https://archive.org/download/KavirajPadLyrics/87_6_Aakha%20aa%20sansar%20no.pdf
28,આખા બ્રહ્માંડનાં માલિક સદેહે,Aakha Brahmandna Malik Sadehe,https://archive.org/download/KavirajPad/82_6_Aakha%20Brahmandna%20Maalik.mp3,https://archive.org/download/KavirajPadLyrics/82_6_Aakha%20Brahmandna%20Maalik.pdf
29,આંખડી બીડું ને ભાળું સીમંધર સ્વામી,Aakhadi Bidu Ne Bhalu Simandhar Swami,https://archive.org/download/KavirajPad/Aankhadi%20Bidu%20Ne%20Bharu.mp3,https://archive.org/download/KavirajPadLyrics/Aakhadi%20bidu%20ne%20bhalu-07-02.pdf
30,આખી યે દુનીયાની 'માયા'માં ગૂંચો,Aakhiye Duniyani Mayama Guncho,https://archive.org/download/KavirajPad/83_10_Aakhi%20Ae%20Duniyani.mp3,https://archive.org/download/KavirajPadLyrics/83_10_Aakhi%20Ae%20Duniyani.pdf
31,આ ....ખો દા'ડો તમારી યાદમાં,Aakho Dahado Tamari Yaadma,https://archive.org/download/KavirajPad/Aakho%20Dahado%20Tamari%20Yad.mp3,https://archive.org/download/KavirajPadLyrics/Aakho%20dahado%20tamari%20yadma%20-28-12.pdf
32,"આખું જગત પડઘા રૂપ, સામ સામું અથડાય","Aakhu Jagat Padgha Roop, Saam Saamu Athaday",https://archive.org/download/KavirajPad/Akhu%20Jagat%20Padagha%20Rup.mp3,https://archive.org/download/KavirajPadLyrics/aakhu%20jagat%20padgha%20rup.pdf
33,આખું વાતાવર્ણ રંગી શકે આપની સુવાસ,Aakhu Vatavaran Rangi Shaake Aapni Suvas,https://archive.org/download/KavirajPad/Akhun%20Vatavaran%20Rangi%20Shake.mp3,https://archive.org/download/KavirajPadLyrics/aakhu%20vatavarn%20rangi%20shake.pdf
34,"આલોચના, સમાલોચના વિચારણા કરીને",Aalochana Samalochana Vicharana,https://archive.org/download/KavirajPad/Aalochana%20Samalochna.mp3,https://archive.org/download/KavirajPadLyrics/Aalochana%20Samalochana-60-04%20(1).pdf
35,,Aamchi Tumchi Goshti,https://archive.org/download/KavirajPad/Aamachi%20Tumachi%20Gosti.mp3,https://archive.org/download/KavirajPadLyrics/aamachi%20tumachi.pdf
36,આંખ માથે પડદો પાડી જ્ઞાનવાણી,Aankh Maathe Padado Padi Gnanvani,https://archive.org/download/KavirajPad/Ankh%20Mathe%20Padado%20Padi.mp3,https://archive.org/download/KavirajPadLyrics/aankh%20mathe%20padado%20padi.pdf
37,આપણે દાદા ભગવાન વિના બીજું,Aapne Dada Bhagawan Vina Biju,https://archive.org/download/KavirajPad/Aapane%20Dada%20Bhagavan%20Vina.mp3,https://archive.org/download/KavirajPadLyrics/Aapne%20dada%20bhagvan%20vina%20-23-09.pdf
38,"આપણી લાયકી બતાવવાને, પેસવું નહીં જ્યાં","Aapne Layki Batav-vane, Pesvu Nahi Jya",https://archive.org/download/KavirajPad/Aapani%20Layaki%20Batavavane.mp3,https://archive.org/download/KavirajPadLyrics/CD70-03%20Aapani%20Layaki%20Batavvane%20Pesvu%20Nahi.pdf
39,"આપ્ત સ્વજન તો તેને રે કહીયે, જેનાં પર મૂકી","Aapt Svajan Toh Tene Re Kahiye, Jeni Par Muki",https://archive.org/download/KavirajPad/6%20Aapta%20Swajan%20To%20Te%20Ne%20Re.mp3,https://archive.org/download/KavirajPadLyrics/Aapt%20Svajan%20Toh%20Tene%20Re%20Kahiye.pdf
40,આપ્તપિતાનાં સિદ્ધાંત સૂત્રો,Aaptpitana Sidhdhant Sutro,https://archive.org/download/KavirajPad/Aptapita%20Na%20Sidhdhant%20Sutro.mp3,https://archive.org/download/KavirajPadLyrics/CD66-04%20Aaptapitana%20Siddhant%20Sutro.pdf
41,"આપ્તપુત્રોની, યુવાનીનું શૂર","Aaptputroni, Yuvaninu Shur",https://archive.org/download/KavirajPad/Aaptputro%20Ni%20Yuvaninu%20Shur.mp3,https://archive.org/download/KavirajPadLyrics/aaptaputra%20ni%20yuvani.pdf
42,"અપૂર્વ સ્વર-શ્રુતી સ્ફૂરણ-ધારા, ફૂટ્યાં ફૂવારા","Aapurva Svar-Shruti Sfuran-Dhara, futtya fuvara",https://archive.org/download/KavirajPad/Apurva%20Swar%20Shruti.mp3,https://archive.org/download/KavirajPadLyrics/Aapurva%20Svar.pdf
43,"આર્તધ્યાન, રૌદ્રધ્યાન, જગત ઉપાદાન",Aartdhayan Roudradhayan Jagat Upadan,https://archive.org/download/KavirajPad/Aartdhyan%20Raudradhyan%20Jagat.mp3,https://archive.org/download/KavirajPadLyrics/Aartdhyan%20Roudradhyan-15-09.pdf
44,આરતી - આરતી છે વિરતી,Aarti - Aarti Chhe Virti,https://archive.org/download/KavirajPad/Aarati%20Chhe%20Virti%20Maha%20Padmanabhni.mp3,https://archive.org/download/KavirajPadLyrics/aarti%20-%20aarti%20chhe%20virati.pdf
45,આરતી - આરતી ઉતારું શ્રી જિનવરની,Aarti - Aarti Utaru Shri Jinvarni,https://archive.org/download/KavirajPad/10%20Aarti%20Utaru%20Shree%20JInvarni.mp3,https://archive.org/download/KavirajPadLyrics/Aarti%20Utaru%20Shri%20Jinvarni.pdf
46,આરતી - જય દાદા ભગવાન,Aarti - Dada Bhagawan - Jai Dada Bhagawan,https://archive.org/download/KavirajPad/Dada%20AARATI%20-%20Jay%20Dada%20Bhagavan.mp3,https://archive.org/download/KavirajPadLyrics/Aarti-Dada%20Bhagwan-Jai%20Dada%20Bhagwan-37-15.pdf
47,આરતી - દીવો-૧- મૂળ દીવાથી,Aarti - Divo-1 Mul Divathi Pragato Dipakmal,https://archive.org/download/KavirajPad/Mul%20Divathi%20Pragto%20-%20DADA%20DIVO-1.mp3,https://archive.org/download/KavirajPadLyrics/Mul%20Divathi%20Pragato.pdf
48,આરતી - દીવો-૨-દીવો કરીએ ભગવન,Aarti - Divo-2 Divo Kariye Bhagawan,https://archive.org/download/KavirajPad/Divo%20Kariye%20Bhagavan%20-%20DADA%20DIVO-2.mp3,https://archive.org/download/KavirajPadLyrics/Divo%20Kariye%20Bhagawan.pdf
49,આરતી - જય આદીશ્વર જય ભગવાન,Aarti - Jay Aadishwar Jay Bhagawan,https://archive.org/download/KavirajPad/Jay%20Aadiswar.mp3,https://archive.org/download/KavirajPadLyrics/Jay%20Aadishwar%20Jay%20Bhagawan.pdf
50,"આરતી - જે શ્રી કૄષ્ણ ભગવાન, જય શ્રીનાથજી",Aarti - Krishna Bhagawan,https://archive.org/download/KavirajPad/Krishna%20Bhagavan%20AARATI.mp3,https://archive.org/download/KavirajPadLyrics/Aarti%20-%20Shri%20krishna%20Bhagwan-37-09.pdf
51,આરતી - જય શિવ શંકર હરિ ૐ નમઃશિવાય,Aarti - Shiv Bhagawan,https://archive.org/download/KavirajPad/Shiv%20Bhagavan%20AARATI.mp3,https://archive.org/download/KavirajPadLyrics/Aarti%20-%20Shri%20Shiv%20Bhagwan-37-12.pdf
52,આરતી - જય સીમંધર સ્વામી પ્રભુ,Aarti - Shree Simandhar Swami - Jay Simandhar Swami,https://archive.org/download/KavirajPad/Simandhar%20Swami%20AARATI.mp3,https://archive.org/download/KavirajPadLyrics/page_0127.pdf
53,આરતી - શ્રી સીમંધર સ્વામી દીવો,Aarti - Shree Simandhar Swami Divo,https://archive.org/download/KavirajPad/Simandhar%20Swami%20DIVO.mp3,https://archive.org/download/KavirajPadLyrics/page_0098.pdf
54,આતમ ધ્યાને રામને ભજતાં,Aatam Dyane Ramne Bhajta,https://archive.org/download/KavirajPad/Atam%20Dhyane%20Ram%20Ne%20Bhajata.mp3,https://archive.org/download/KavirajPadLyrics/aatam%20dyane.pdf
55,આતમા એકવાર પોતે જાણવો જોઈએ,Aatama Aekvar Pote Janavo Joia,https://archive.org/download/KavirajPad/87_9_Aatma%20ekvaar%20pote.mp3,https://archive.org/download/KavirajPadLyrics/87_9_Aatma%20ekvaar%20pote.pdf
56,આત્મ સ્વરૂપે જે સ્પંદ વહ્યાં,Aatm Swarupe Je Spandh Vahaya,https://archive.org/download/KavirajPad/Aatma%20Swarupe%20Je%20Spand.mp3,https://archive.org/download/KavirajPadLyrics/Aatm%20Swarupe%20Je%20Spandh%20Vahaya-09-08.pdf
57,આત્માના અંન્વય ગુણો,Aatmana Aanvay Gunno,https://archive.org/download/KavirajPad/02%20Atmana%20Anvay%20Guno.mp3,https://archive.org/download/KavirajPadLyrics/CD65-02%20Aatmana%20Anvay%20Guno.pdf
58,આત્માના વિભાવ વિકલ્પે,Aatmana Vibhav Vikalpe,https://archive.org/download/KavirajPad/Aatmana%20Vibhav%20Vikalpe.mp3,https://archive.org/download/KavirajPadLyrics/CD70-11%20Aatmana%20Vibhav%20Vikalpe.pdf
59,આત્માના વિભાવ વિકલ્પે,Aatmana Vibhav Vikalpe,https://archive.org/download/KavirajPad/84_2_Aatmana%20Vibhaav%20Vikalpe.mp3,https://archive.org/download/KavirajPadLyrics/84_2_Aatmana%20Vibhaav%20Vikalpe.pdf
60,આત્માનું મૂળ સ્વરૂપ અખંડ સમાધિ,Aatmanu Mul Swarup Akhand Samadhi,https://archive.org/download/KavirajPad/Aatmanu%20Mul%20Swarup.mp3,https://archive.org/download/KavirajPadLyrics/Aatmanu%20mul%20swarup-13-07.pdf
61,આવી બિરાજો 'દાદાજી',Aavi Birajo 'Dadaji',https://archive.org/download/KavirajPad/Aavi%20Birajo%20Dadaji%20Sunu%20Antar%20-%20PARAYUSHAN.mp3,https://archive.org/download/KavirajPadLyrics/aavi%20birajo%20dadaji.pdf
62,"આવી રે, આવી રે, દાદા જનમ ખુશાલી","Aavi Re, Aavi Re, Dada Janam Khushali",https://archive.org/download/KavirajPad/Aavire%20(2)%20Dada%20JanmaKhushali.mp3,https://archive.org/download/KavirajPadLyrics/aavi%20re%20aavi%20re.pdf
63,આવો પધારો રૂદિયામાં,Aavo Padharo Rudiyama,https://archive.org/download/KavirajPad/Aavo%20Padharo%20Rudiyama.mp3,https://archive.org/download/KavirajPadLyrics/Aavo%20padharo%20rudiyama-19-07.pdf
64,"આવ્યાં આવ્યાં આજ રે, અવસર","Aavya Aavya Aaj Re, Avasar",https://archive.org/download/KavirajPad/Aavya%20(2)%20Aaj%20Re%20Avasar.mp3,https://archive.org/download/KavirajPadLyrics/Aavya%20aavya%20aaj%20re-33-01.pdf
65,આવ્યો કલ્કિ તારણહાર રે,Aavyo Kalki Taranhar Re,https://archive.org/download/KavirajPad/Aavyo%20Kalki%20Taranhar.mp3,https://archive.org/download/KavirajPadLyrics/page_0498.pdf
66,"આયો (૩) આયો રે, ક્ષીણ-મોહ-જીનેશ્વર આયો","Aayo aayo aayo aayo Re, Kshin-MohJineshwar Aayo",https://archive.org/download/KavirajPad/Aayo%20(3)%20Re%20Kshinmoh%20Jineswar.mp3,https://archive.org/download/KavirajPadLyrics/Aayo%20aayo%20aayo%20re-34-04.pdf
67,અભયદાન મહાદાન છે- જ્ઞાન વાક્યોની સમજ,Abhaydan Mahadan chhe - Gnan vaakyo ni samaj,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20-%20Sutro.mp3,https://archive.org/download/KavirajPadLyrics/page_0683.pdf
68,અદ્‌ભુત અદ્‌ભુત આ અવતાર,Adbhut Adbhut Aa avataar,https://archive.org/download/KavirajPad/Adbhut%20Adbhut%20Aa.mp3,https://archive.org/download/KavirajPadLyrics/Adbhut%20adbhut%20aa%20avatar-19-06.pdf
69,"અધરં મધુરં, વદનં મધુરં, નયનં મધુરં",Adharam Madhuram Vadanam Madhuram,https://archive.org/download/KavirajPad/84_3_Adhram%20Madhuram%20Vadanam%20Madhuram.mp3,https://archive.org/download/KavirajPadLyrics/84_3_Adhram%20Madhuram%20Vadanam%20Madhuram.pdf
70,"અધર્મ થાય જો સંજોગવશાત, ધર્મ પણ","Adharma Thay Jo Sanjog-vashat, Dharma Pann",https://archive.org/download/KavirajPad/11%20Adharma%20Thay%20Jo%20Sanjogvashat.mp3,https://archive.org/download/KavirajPadLyrics/page_0015.pdf
71,ઐ અર્ચના આનંદ હ્રદયે,Aei Archna Anand Rudaye,https://archive.org/download/KavirajPad/Aei%20Archana%20Aanand%20Hradaye.mp3,https://archive.org/download/KavirajPadLyrics/Aei%20archana%20anand%20rudaye-58-07.pdf
72,"અગર હોતે કદી વાચા, પશુ પંખી યા","Agar Hote Kadi Vacha, Pashu Pankhi Ya",https://archive.org/download/KavirajPad/Agar%20Hote%20Kadi%20Vacha%20Pashu.mp3,https://archive.org/download/KavirajPadLyrics/Agar%20hote%20kadi%20vacha-52-03.pdf
73,"અ-ઘટ સ્નેહ દે, શાંતિ દે","Aghat Sneh De, Shanti De",https://archive.org/download/KavirajPad/A-Ghat%20Sneh%20De%20Shanti%20De.mp3,https://archive.org/download/KavirajPadLyrics/page_0724.pdf
74,અગિયારમું આશ્ચર્ય પ્રગટ થશે જ્યાં,Agiyaarmu Aashcharya Pragat Thashe Jya,https://archive.org/download/KavirajPad/Agiyarmu%20Ashchrya%20Pragat%20Thashe.mp3,https://archive.org/download/KavirajPadLyrics/aagiyaar%20mu%20aashcharya.pdf
75,"અજ્ઞાને બંધેલા ચીતરેલા ચોપડા, ગત-જન્મો","Agnane Bandhela Chitrela Chopda, Gat-Janmo",https://archive.org/download/KavirajPad/Agyane%20Bandhela%20Chitarale.mp3,https://archive.org/download/KavirajPadLyrics/agnane%20bandhela.pdf
76,"અજ્ઞાની આલમમાં, મૂર્તા-મૂર્ત મશલચી","Agnani Aalam-ma, Murta-Murt Mashalchi",https://archive.org/download/KavirajPad/Agyani%20Alam%20Ma%20Murta%20Murt.mp3,https://archive.org/download/KavirajPadLyrics/agnani%20alam%20ma.pdf
77,"અહંકાર જ્યાં ઘવાય, ત્યાં જ આંધળો બને","Ahankar Jya Ghavay, Tyan J Aandhlo Bane",https://archive.org/download/KavirajPad/Ahankar%20Jyan%20Ghavay%20Tyan%20J.mp3,https://archive.org/download/KavirajPadLyrics/aahankar%20jya%20ghavay%20tyaj%20aandhlo%20bane4.pdf
78,અહંકાર-મમતાનો જ્યાં મોક્ષ,Ahankar-Mamtano Jyan Moksh,https://archive.org/download/KavirajPad/Ahankar%20Mamatano%20Jayan.mp3,https://archive.org/download/KavirajPadLyrics/page_0231.pdf
79,"અહંકાર! શૂન્ય થઈ, દેહ સાથે મોક્ષ","Ahankar! Shunyay Thayi, Deh Saathe Moksh",https://archive.org/download/KavirajPad/Ahankarshunya%20Thai.mp3,https://archive.org/download/KavirajPadLyrics/page_0255.pdf
80,અહંકારનાં પીતાનું નામ અજ્ઞાન છે,Ahankarna Pitanu Naam Agnan Chhe,https://archive.org/download/KavirajPad/Ahankarna%20Pitanu%20Nam.mp3,https://archive.org/download/KavirajPadLyrics/Ahankar%20na%20pitanu%20naam-13-12.pdf
81,અહીં 'આ' સંભારું ને પૂગી જાય તેમને,"Ahi ""Aa"" Sambharun Ne Pugi Jay Tamne",https://archive.org/download/KavirajPad/Ahiyan%20Sambharu%20Ne%20Pugi%20Jay%20Temane.mp3,https://archive.org/download/KavirajPadLyrics/page_0586.pdf
82,અહો! સીમંધર સ્વામી રાત દિવસ,Aho! Simandhar Swami rat divas,https://archive.org/download/KavirajPad/13%20Aho%20Simandhar%20Swami.mp3,https://archive.org/download/KavirajPadLyrics/page_0101.pdf
83,ઐશ્વર્ય ઉભરે સ્વામી સીમંધર,Aishwarya ubhare swami simandhar,https://archive.org/download/KavirajPad/Aishwarya%20Ubhare%20swami%20simandhar-59-07.mp3,https://archive.org/download/KavirajPadLyrics/Aishwarya%20ubhare%20swami%20simandhar-59-07.pdf
84,અજન્મા જનમનો અમરોત્સવ,Ajanma Janamno Amrotsav,https://archive.org/download/KavirajPad/Ajanma%20Janmano%20Amarotsav.mp3,https://archive.org/download/KavirajPadLyrics/aa%20janma.pdf
85,"અજનમા જનમોચ્છવ, પરમશાંત સુધાશ્રવ","Ajanma Janmochchhav, Paramshant Sudhashrav",https://archive.org/download/KavirajPad/Ajanma%20JanmoChhav.mp3,https://archive.org/download/KavirajPadLyrics/aa%20janma%20janmochhav.pdf
86,અજરામર વીરડો જ્ઞાનફળાં,Ajaramar Virdo Gnanfanhi,https://archive.org/download/KavirajPad/Ajaramar%20Virado.mp3,https://archive.org/download/KavirajPadLyrics/page_0147.pdf
87,અખીયન સામે દેખું સીમંધર,Akhiyan Saame Dekhu Simandhar,https://archive.org/download/KavirajPad/Akhiyan%20Same%20Dekhu%20Simandhar.mp3,https://archive.org/download/KavirajPadLyrics/aakhiyan%20same%20dekhu%20simandhar.pdf
88,"અખૂટા-મૃત સુરાહી, મહેફિલમાં","Akhuta-Mrut Surahi, Mehfima",https://archive.org/download/KavirajPad/Akhoota-Mrut%20surahi%20Mahefilama.mp3,https://archive.org/download/KavirajPadLyrics/aakhuta%20mrut.pdf
89,"અક્રમ 'અંબાલાલનું', પામ્યો જ્ઞાન-અનંત","Akram 'Ambalal Nu', Pamyo Gnan-Anant",https://archive.org/download/KavirajPad/Akram%20Ambalalnu%20Pamyo.mp3,https://archive.org/download/KavirajPadLyrics/page_0641.pdf
90,અકરમ માર્ગે મોક્ષજ અનુભવ થાય,Akram Marge Mokshaj Anubhav Thay,https://archive.org/download/KavirajPad/Akaram%20Marge%20Mokhs%20J.mp3,https://archive.org/download/KavirajPadLyrics/akram%20marge.pdf
91,અક્રમ વિજ્ઞાની અ-ગુરૂ પ્રણામ,Akram Vignani A-Guru Pranam,https://archive.org/download/KavirajPad/Akram%20Vignani%20Aguru%20Pranam.mp3,https://archive.org/download/KavirajPadLyrics/akram%20vignani.pdf
92,"અક્ષય સમૃદ્ધ સ્વયં રસાનંદ, કીર્તન નવધા",Akshay Samruddha Swayam Rasanand,https://archive.org/download/KavirajPad/86_5_Akshay%20Samruddham%20Swayam%20Rasaanand%20.mp3,https://archive.org/download/KavirajPadLyrics/86_5_Akshay%20Samruddham%20Swayam%20Rasaanand%20.pdf
93,"અલી હો .... રે, .... મનો સ્પંદનામાં જ્ઞાન જ્ઞાન","Ali Ho …. Re, …. Mano Spandanama Gnan Gnan",https://archive.org/download/KavirajPad/Ali%20Ho%20Re%20Mano%20Spandanama%20Gnan%20(2)%20Bol.mp3,https://archive.org/download/KavirajPadLyrics/CD61-09%20Ali%20Ho%20Re%20Mano-Spandanama%20GnanGnan.pdf
94,"અલી હો .... રે, છનો છપનો","Ali Ho …. Re, Chhano Chhapno",https://archive.org/download/KavirajPad/Ali%20Ho%20Re%20Chhano%20Chhapno.mp3,https://archive.org/download/KavirajPadLyrics/ali%20hore.pdf
95,અમ પથ્થર દીલનાં લોઢાંને,Am Paththar Dilna LodhaNe,https://archive.org/download/KavirajPad/10%20Am%20Patthar%20Dilna.mp3,https://archive.org/download/KavirajPadLyrics/Am%20paththar%20dilna%20lodhane-02-10.pdf
96,"અમને કંઈ જ નડે નહીં, એવો અહમ","Amane Kai J Nade Nahi, Evo Aham",https://archive.org/download/KavirajPad/Amane%20Kai%20Ja%20Nade%20Nahi.mp3,https://archive.org/download/KavirajPadLyrics/amne%20kaij%20nade%20nahi.pdf
97,"અમર અંબાલાલનાં, દાદા ભગવાનનાં","Amar Ambalalna, Dada Bhagawanana",https://archive.org/download/KavirajPad/Amar%20Ambalal%20Na%20Dada%20Bhagavanna.mp3,https://archive.org/download/KavirajPadLyrics/Amar%20Ambalal%20na-44-02.pdf
98,"અમરપદ મોક્ષની આગળ, અગર હોતે","Amar pad Mokshani Aagal, Agar Hote",https://archive.org/download/KavirajPad/Amarpad%20Mokshni%20Aagal.mp3,https://archive.org/download/KavirajPadLyrics/Amar%20pad%20mox%20ni%20aagal-21-02.pdf
99,અમારાં જ્ઞાનવાક્યોના,Amara Gnan-vakyona,https://archive.org/download/KavirajPad/Amara%20Gnan%20Vakyona.mp3,https://archive.org/download/KavirajPadLyrics/page_0503.pdf
100,અમારી એક ધ્રુવ ઈચ્છા,Amari Ek Dhuv ichha,https://archive.org/download/KavirajPad/Amari%20Aek%20Dhruv%20Ichchha.mp3,https://archive.org/download/KavirajPadLyrics/page_0506.pdf
